Trial,Cond,imageIDT,imageIDC,cue,Block,Correct,Response,RT,Accuracy,cueRep
90,1,S_Image_65.bmp,NA,NA,NA,NA,1,0.70091,NA,NA
91,1,O_Lure_46.bmp,NA,NA,NA,NA,1,0.17963,NA,NA
92,1,O_Lure_47.bmp,NA,NA,NA,NA,1,0.4144,NA,NA
93,1,O_Image_41.bmp,NA,NA,NA,NA,1,0.53709,NA,NA
94,1,F_Lure_16.bmp,NA,NA,NA,NA,1,1.6458,NA,NA
95,1,F_Image_20.bmp,NA,NA,NA,NA,1,2.8384,NA,NA
96,1,O_Image_33.bmp,NA,NA,NA,NA,1,0.65452,NA,NA
97,1,F_Image_11.bmp,NA,NA,NA,NA,1,3.7104,NA,NA
98,1,F_Image_9.bmp,NA,NA,NA,NA,1,0.77271,NA,NA
99,1,O_Lure_32.bmp,NA,NA,NA,NA,1,0.47216,NA,NA
100,1,S_Lure_71.bmp,NA,NA,NA,NA,1,0.89547,NA,NA
101,1,F_Lure_17.bmp,NA,NA,NA,NA,1,0.00011531,NA,NA
102,1,O_Lure_28.bmp,NA,NA,NA,NA,1,0.46975,NA,NA
103,1,S_Lure_62.bmp,NA,NA,NA,NA,1,0.26238,NA,NA
104,1,F_Image_17.bmp,NA,NA,NA,NA,1,0.00011531,NA,NA
105,1,O_Lure_39.bmp,NA,NA,NA,NA,1,0.80911,NA,NA
106,1,S_Image_66.bmp,NA,NA,NA,NA,1,0.57841,NA,NA
107,1,S_Lure_58.bmp,NA,NA,NA,NA,1,2.1897,NA,NA
108,1,O_Lure_35.bmp,NA,NA,NA,NA,1,0.45062,NA,NA
109,1,O_Lure_30.bmp,NA,NA,NA,NA,1,1.6665,NA,NA
110,1,S_Lure_69.bmp,NA,NA,NA,NA,1,0.22598,NA,NA
111,1,F_Lure_6.bmp,NA,NA,NA,NA,1,0.91458,NA,NA
112,1,F_Image_10.bmp,NA,NA,NA,NA,1,1.1127,NA,NA
113,1,O_Lure_42.bmp,NA,NA,NA,NA,1,1.0782,NA,NA
114,1,F_Image_15.bmp,NA,NA,NA,NA,1,0.00012285,NA,NA
115,1,F_Image_24.bmp,NA,NA,NA,NA,1,1.0707,NA,NA
116,1,O_Lure_34.bmp,NA,NA,NA,NA,1,0.95819,NA,NA
117,1,F_Image_21.bmp,NA,NA,NA,NA,1,1.2669,NA,NA
118,1,O_Image_32.bmp,NA,NA,NA,NA,1,0.38569,NA,NA
119,1,F_Lure_24.bmp,NA,NA,NA,NA,1,0.51659,NA,NA
120,1,F_Lure_3.bmp,NA,NA,NA,NA,1,2.4023,NA,NA
121,1,S_Lure_49.bmp,NA,NA,NA,NA,1,0.89176,NA,NA
122,1,O_Image_35.bmp,NA,NA,NA,NA,1,0.1313,NA,NA
123,1,S_Lure_68.bmp,NA,NA,NA,NA,1,1.9847,NA,NA
124,1,O_Image_31.bmp,NA,NA,NA,NA,1,0.26725,NA,NA
125,1,S_Lure_67.bmp,NA,NA,NA,NA,1,0.60255,NA,NA
126,1,F_Image_5.bmp,NA,NA,NA,NA,1,0.45357,NA,NA
127,1,O_Image_47.bmp,NA,NA,NA,NA,1,0.73332,NA,NA
128,1,O_Lure_48.bmp,NA,NA,NA,NA,1,0.62557,NA,NA
129,1,O_Image_39.bmp,NA,NA,NA,NA,1,0.25239,NA,NA
130,1,F_Lure_22.bmp,NA,NA,NA,NA,1,0.46009,NA,NA
131,1,S_Lure_53.bmp,NA,NA,NA,NA,1,2.3241,NA,NA
132,1,O_Lure_37.bmp,NA,NA,NA,NA,1,0.8589,NA,NA
133,1,O_Lure_36.bmp,NA,NA,NA,NA,1,1.4496,NA,NA
134,1,O_Lure_45.bmp,NA,NA,NA,NA,1,0.96975,NA,NA
135,1,S_Image_57.bmp,NA,NA,NA,NA,1,1.3243,NA,NA
